股票代码,股票名称,总市值,所属板块,申万一级行业,主力净流入,最新价
002022,科华生物,3158106286,5,上海板块,4549358.0,-1.29
000564,供销大集,41533545714,5,陕西板块,-51769071.0,-1.29
300399,天利科技,5449808000,2,江西板块,-22572457.0,-1.29
002820,桂发祥,2458627931,5,天津板块,-590291.0,-1.29
300380,安硕信息,5597090792,2,上海板块,-15313053.0,-1.29
300149,睿智医药,5313275795,2,广东板块,-8065479.0,-1.3
300231,银信科技,5078255263,2,北京板块,-20379798.0,-1.3
600476,湘邮科技,2208269700,5,湖南板块,-5313930.0,-1.3
600030,中信证券,405786572178,5,广东板块,-676198832.0,-1.3
300803,指南针,70882212200,2,北京板块,-201627999.0,-1.3
600714,金瑞矿业,4812543759,5,青海板块,-19880425.0,-1.3
688118,普元信息,2760308371,2,上海板块,-1239277.0,-1.3
688290,景业智能,5806419549,2,浙江板块,1823826.0,-1.3
300997,欢乐家,9935022617,2,广东板块,-12403832.0,-1.3
002578,闽发铝业,4261381031,5,福建板块,-9135265.0,-1.3
605186,健麾信息,2983840000,5,上海板块,-5276379.0,-1.3
601963,重庆银行,34155219297,5,重庆板块,-2776329.0,-1.31
301010,晶雪节能,2447280000,2,江苏板块,-5158577.0,-1.31
603258,电魂网络,4604769696,5,浙江板块,-718032.0,-1.31
600761,安徽合力,20156377181,5,安徽板块,-18431561.0,-1.31
300949,奥雅股份,2623800000,2,广东板块,-951209.0,-1.31
600648,外高桥,14347073900,5,上海板块,-1579951.0,-1.31
002508,老板电器,19938211128,5,浙江板块,-739462.0,-1.31
600847,万里股份,2193542694,5,重庆板块,560204.0,-1.31
300080,易成新能,9872714898,2,河南板块,-7755064.0,-1.31
002779,中坚科技,18215736000,5,浙江板块,-10304484.0,-1.31
